OL_REF	LANG	EXPR_NO	TOKEN_POS	SOURCE_EXPRESSION	DIGIT_VALUE	ORIGIN	OL_TEXT
2KI 11:19	HEB	1	4	הַ֠מֵּאוֹת	100	RAW_PARSER	וַיִּקַּ֣ח אֶת־שָׂרֵ֣י הַ֠מֵּאוֹת וְאֶת־הַכָּרִ֨י וְאֶת־הָרָצִ֜ים וְאֵ֣ת_׀ כָּל־עַ֣ם הָאָ֗רֶץ וַיֹּרִ֤ידוּ אֶת־הַמֶּ֙לֶךְ֙ מִבֵּ֣ית יְהוָ֔ה וַיָּב֛וֹאוּ דֶּֽרֶך־שַׁ֥עַר הָרָצִ֖ים בֵּ֣ית הַמֶּ֑לֶךְ וַיֵּ֖שֶׁב עַל־כִּסֵּ֥א הַמְּלָכִֽים׃
2KI 12:1	HEB	1	2	שֶׁ֥בַע	7	RAW_PARSER	בֶּן־שֶׁ֥בַע שָׁנִ֖ים יְהוֹאָ֥שׁ בְּמָלְכֽוֹ׃ פ
2KI 12:2	HEB	1	2	שֶׁ֤בַע	7	RAW_PARSER	בִּשְׁנַת־שֶׁ֤בַע לְיֵהוּא֙ מָלַ֣ךְ יְהוֹאָ֔שׁ וְאַרְבָּעִ֣ים שָׁנָ֔ה מָלַ֖ךְ בִּירֽוּשָׁלָ֑͏ִם וְשֵׁ֣ם אִמּ֔וֹ צִבְיָ֖ה מִבְּאֵ֥ר_שָֽׁבַע׃
2KI 12:2	HEB	2	6	וְאַרְבָּעִ֣ים	40	RAW_PARSER	בִּשְׁנַת־שֶׁ֤בַע לְיֵהוּא֙ מָלַ֣ךְ יְהוֹאָ֔שׁ וְאַרְבָּעִ֣ים שָׁנָ֔ה מָלַ֖ךְ בִּירֽוּשָׁלָ֑͏ִם וְשֵׁ֣ם אִמּ֔וֹ צִבְיָ֖ה מִבְּאֵ֥ר_שָֽׁבַע׃
2KI 12:7	HEB	1	3	עֶשְׂרִ֧ים וְשָׁלֹ֛שׁ	23	RAW_PARSER	וַיְהִ֗י בִּשְׁנַ֨ת עֶשְׂרִ֧ים וְשָׁלֹ֛שׁ שָׁנָ֖ה לַמֶּ֣לֶךְ יְהוֹאָ֑שׁ לֹֽא־חִזְּק֥וּ הַכֹּהֲנִ֖ים אֶת־בֶּ֥דֶק הַבָּֽיִת׃
2KI 12:10	HEB	1	5	אֶחָ֔ד	1	RAW_PARSER	וַיִּקַּ֞ח יְהוֹיָדָ֤ע הַכֹּהֵן֙ אֲר֣וֹן אֶחָ֔ד וַיִּקֹּ֥ב חֹ֖ר בְּדַלְתּ֑וֹ וַיִּתֵּ֣ן אֹתוֹ֩ אֵ֨צֶל הַמִּזְבֵּ֜חַ *בַּיָּמִין **מִיָּמִ֗ין בְּבֽוֹא־אִישׁ֙ בֵּ֣ית יְהוָ֔ה וְנָֽתְנוּ־שָׁ֤מָּה הַכֹּֽהֲנִים֙ שֹׁמְרֵ֣י הַסַּ֔ף אֶת־כָּל־הַכֶּ֖סֶף הַמּוּבָ֥א בֵית־יְהוָֽה׃
2KI 13:1	HEB	1	2	עֶשְׂרִ֤ים וְשָׁלֹשׁ֙	23	RAW_PARSER	בִּשְׁנַ֨ת עֶשְׂרִ֤ים וְשָׁלֹשׁ֙ שָׁנָ֔ה לְיוֹאָ֥שׁ בֶּן־אֲחַזְיָ֖הוּ מֶ֣לֶךְ יְהוּדָ֑ה מָ֠לַךְ יְהוֹאָחָ֨ז בֶּן־יֵה֤וּא עַל־יִשְׂרָאֵל֙ בְּשֹׁ֣מְר֔וֹן שְׁבַ֥ע עֶשְׂרֵ֖ה שָׁנָֽה׃
2KI 13:1	HEB	2	17	שְׁבַ֥ע עֶשְׂרֵ֖ה	17	RAW_PARSER	בִּשְׁנַ֨ת עֶשְׂרִ֤ים וְשָׁלֹשׁ֙ שָׁנָ֔ה לְיוֹאָ֥שׁ בֶּן־אֲחַזְיָ֖הוּ מֶ֣לֶךְ יְהוּדָ֑ה מָ֠לַךְ יְהוֹאָחָ֨ז בֶּן־יֵה֤וּא עַל־יִשְׂרָאֵל֙ בְּשֹׁ֣מְר֔וֹן שְׁבַ֥ע עֶשְׂרֵ֖ה שָׁנָֽה׃
2KI 13:7	HEB	1	8	חֲמִשִּׁ֤ים	50	RAW_PARSER	כִּ֣י לֹא֩ הִשְׁאִ֨יר לִיהוֹאָחָ֜ז עָ֗ם כִּ֣י אִם־חֲמִשִּׁ֤ים פָּֽרָשִׁים֙ וַעֲשָׂ֣רָה רֶ֔כֶב וַעֲשֶׂ֥רֶת אֲלָפִ֖ים רַגְלִ֑י כִּ֤י אִבְּדָם֙ מֶ֣לֶךְ אֲרָ֔ם וַיְשִׂמֵ֥ם כֶּֽעָפָ֖ר לָדֻֽשׁ׃
2KI 13:7	HEB	2	10	וַעֲשָׂ֣רָה	10	RAW_PARSER	כִּ֣י לֹא֩ הִשְׁאִ֨יר לִיהוֹאָחָ֜ז עָ֗ם כִּ֣י אִם־חֲמִשִּׁ֤ים פָּֽרָשִׁים֙ וַעֲשָׂ֣רָה רֶ֔כֶב וַעֲשֶׂ֥רֶת אֲלָפִ֖ים רַגְלִ֑י כִּ֤י אִבְּדָם֙ מֶ֣לֶךְ אֲרָ֔ם וַיְשִׂמֵ֥ם כֶּֽעָפָ֖ר לָדֻֽשׁ׃
2KI 13:7	HEB	3	12	וַעֲשֶׂ֥רֶת אֲלָפִ֖ים	10000	RAW_PARSER	כִּ֣י לֹא֩ הִשְׁאִ֨יר לִיהוֹאָחָ֜ז עָ֗ם כִּ֣י אִם־חֲמִשִּׁ֤ים פָּֽרָשִׁים֙ וַעֲשָׂ֣רָה רֶ֔כֶב וַעֲשֶׂ֥רֶת אֲלָפִ֖ים רַגְלִ֑י כִּ֤י אִבְּדָם֙ מֶ֣לֶךְ אֲרָ֔ם וַיְשִׂמֵ֥ם כֶּֽעָפָ֖ר לָדֻֽשׁ׃
2KI 13:10	HEB	1	2	שְׁלֹשִׁ֤ים וָשֶׁ֙בַע֙	37	RAW_PARSER	בִּשְׁנַ֨ת שְׁלֹשִׁ֤ים וָשֶׁ֙בַע֙ שָׁנָ֔ה לְיוֹאָ֖שׁ מֶ֣לֶךְ יְהוּדָ֑ה מָ֠לַךְ יְהוֹאָ֨שׁ בֶּן־יְהוֹאָחָ֤ז עַל־יִשְׂרָאֵל֙ בְּשֹׁ֣מְר֔וֹן שֵׁ֥שׁ עֶשְׂרֵ֖ה שָׁנָֽה׃
2KI 13:10	HEB	2	15	שֵׁ֥שׁ עֶשְׂרֵ֖ה	16	RAW_PARSER	בִּשְׁנַ֨ת שְׁלֹשִׁ֤ים וָשֶׁ֙בַע֙ שָׁנָ֔ה לְיוֹאָ֖שׁ מֶ֣לֶךְ יְהוּדָ֑ה מָ֠לַךְ יְהוֹאָ֨שׁ בֶּן־יְהוֹאָחָ֤ז עַל־יִשְׂרָאֵל֙ בְּשֹׁ֣מְר֔וֹן שֵׁ֥שׁ עֶשְׂרֵ֖ה שָׁנָֽה׃
2KI 13:18	HEB	1	11	שָֽׁלֹשׁ	3	RAW_PARSER	וַיֹּ֛אמֶר קַ֥ח הַחִצִּ֖ים וַיִּקָּ֑ח וַיֹּ֤אמֶר לְמֶֽלֶךְ־יִשְׂרָאֵל֙ הַךְ־אַ֔רְצָה וַיַּ֥ךְ שָֽׁלֹשׁ־פְּעָמִ֖ים וַֽיַּעֲמֹֽד׃
2KI 13:19	HEB	1	7	חָמֵ֤שׁ	5	RAW_PARSER	וַיִּקְצֹ֨ף עָלָ֜יו אִ֣ישׁ הָאֱלֹהִ֗ים וַיֹּ֙אמֶר֙ לְהַכּ֨וֹת חָמֵ֤שׁ אוֹ־שֵׁשׁ֙ פְּעָמִ֔ים אָ֛ז הִכִּ֥יתָ אֶת־אֲרָ֖ם עַד־כַּלֵּ֑ה וְעַתָּ֕ה שָׁלֹ֥שׁ פְּעָמִ֖ים תַּכֶּ֥ה אֶת־אֲרָֽם׃ ס
2KI 13:19	HEB	2	9	שֵׁשׁ֙	6	RAW_PARSER	וַיִּקְצֹ֨ף עָלָ֜יו אִ֣ישׁ הָאֱלֹהִ֗ים וַיֹּ֙אמֶר֙ לְהַכּ֨וֹת חָמֵ֤שׁ אוֹ־שֵׁשׁ֙ פְּעָמִ֔ים אָ֛ז הִכִּ֥יתָ אֶת־אֲרָ֖ם עַד־כַּלֵּ֑ה וְעַתָּ֕ה שָׁלֹ֥שׁ פְּעָמִ֖ים תַּכֶּ֥ה אֶת־אֲרָֽם׃ ס
2KI 13:19	HEB	3	18	שָׁלֹ֥שׁ	3	RAW_PARSER	וַיִּקְצֹ֨ף עָלָ֜יו אִ֣ישׁ הָאֱלֹהִ֗ים וַיֹּ֙אמֶר֙ לְהַכּ֨וֹת חָמֵ֤שׁ אוֹ־שֵׁשׁ֙ פְּעָמִ֔ים אָ֛ז הִכִּ֥יתָ אֶת־אֲרָ֖ם עַד־כַּלֵּ֑ה וְעַתָּ֕ה שָׁלֹ֥שׁ פְּעָמִ֖ים תַּכֶּ֥ה אֶת־אֲרָֽם׃ ס
2KI 13:25	HEB	1	19	שָׁלֹ֤שׁ	3	RAW_PARSER	וַיָּ֜שָׁב יְהוֹאָ֣שׁ בֶּן־יְהוֹאָחָ֗ז וַיִּקַּ֤ח אֶת־הֶֽעָרִים֙ מִיַּד֙ בֶּן־הֲדַ֣ד בֶּן־חֲזָאֵ֔ל אֲשֶׁ֣ר לָקַ֗ח מִיַּ֛ד יְהוֹאָחָ֥ז אָבִ֖יו בַּמִּלְחָמָ֑ה שָׁלֹ֤שׁ פְּעָמִים֙ הִכָּ֣הוּ יוֹאָ֔שׁ וַיָּ֖שֶׁב אֶת־עָרֵ֥י יִשְׂרָאֵֽל׃ פ
2KI 14:1	HEB	1	2	שְׁתַּ֔יִם	2	RAW_PARSER	בִּשְׁנַ֣ת שְׁתַּ֔יִם לְיוֹאָ֥שׁ בֶּן־יוֹאָחָ֖ז מֶ֣לֶךְ יִשְׂרָאֵ֑ל מָלַ֛ךְ אֲמַצְיָ֥הוּ בֶן־יוֹאָ֖שׁ מֶ֥לֶךְ יְהוּדָֽה׃
2KI 14:2	HEB	1	2	עֶשְׂרִ֨ים וְחָמֵ֤שׁ	25	RAW_PARSER	בֶּן־עֶשְׂרִ֨ים וְחָמֵ֤שׁ שָׁנָה֙ הָיָ֣ה בְמָלְכ֔וֹ וְעֶשְׂרִ֤ים וָתֵ֙שַׁע֙ שָׁנָ֔ה מָלַ֖ךְ בִּירוּשָׁלָ֑͏ִם וְשֵׁ֣ם אִמּ֔וֹ *יְהוֹעַדִּין **יְהֽוֹעַדָּ֖ן מִן־יְרוּשָׁלָֽ͏ִם׃
2KI 14:2	HEB	2	7	וְעֶשְׂרִ֤ים וָתֵ֙שַׁע֙	29	RAW_PARSER	בֶּן־עֶשְׂרִ֨ים וְחָמֵ֤שׁ שָׁנָה֙ הָיָ֣ה בְמָלְכ֔וֹ וְעֶשְׂרִ֤ים וָתֵ֙שַׁע֙ שָׁנָ֔ה מָלַ֖ךְ בִּירוּשָׁלָ֑͏ִם וְשֵׁ֣ם אִמּ֔וֹ *יְהוֹעַדִּין **יְהֽוֹעַדָּ֖ן מִן־יְרוּשָׁלָֽ͏ִם׃
2KI 14:7	HEB	1	9	עֲשֶׂ֣רֶת אֲלָפִ֔ים	10000	RAW_PARSER	הוּא־הִכָּ֨ה אֶת־אֱד֤וֹם בְּגֵיא־*הַמֶּלַח בְּגֵיא־**מֶ֙לַח֙ עֲשֶׂ֣רֶת אֲלָפִ֔ים וְתָפַ֥שׂ אֶת־הַסֶּ֖לַע בַּמִּלְחָמָ֑ה וַיִּקְרָ֤א אֶת־שְׁמָהּ֙ יָקְתְאֵ֔ל עַ֖ד הַיּ֥וֹם הַזֶּֽה׃ פ
2KI 14:13	HEB	1	25	אַרְבַּ֥ע מֵא֖וֹת	400	RAW_PARSER	וְאֵת֩ אֲמַצְיָ֨הוּ מֶֽלֶךְ־יְהוּדָ֜ה בֶּן־יְהוֹאָ֣שׁ בֶּן־אֲחַזְיָ֗הוּ תָּפַ֛שׂ יְהוֹאָ֥שׁ מֶֽלֶךְ־יִשְׂרָאֵ֖ל בְּבֵ֣ית_שָׁ֑מֶשׁ *וַיָּבֹאוּ **וַיָּבֹא֙ יְר֣וּשָׁלַ͏ִ֔ם וַיִּפְרֹץ֩ בְּחוֹמַ֨ת יְרוּשָׁלַ͏ִ֜ם בְּשַׁ֤עַר אֶפְרַ֙יִם֙ עַד־שַׁ֣עַר הַפִּנָּ֔ה אַרְבַּ֥ע מֵא֖וֹת אַמָּֽה׃
2KI 14:17	HEB	1	14	חֲמֵ֥שׁ עֶשְׂרֵ֖ה	15	RAW_PARSER	וַיְחִ֨י אֲמַצְיָ֤הוּ בֶן־יוֹאָשׁ֙ מֶ֣לֶךְ יְהוּדָ֔ה אַֽחֲרֵ֣י מ֔וֹת יְהוֹאָ֥שׁ בֶּן־יְהֽוֹאָחָ֖ז מֶ֣לֶךְ יִשְׂרָאֵ֑ל חֲמֵ֥שׁ עֶשְׂרֵ֖ה שָׁנָֽה׃
2KI 14:21	HEB	1	9	שֵׁ֥שׁ עֶשְׂרֵ֖ה	16	RAW_PARSER	וַיִּקְח֞וּ כָּל־עַ֤ם יְהוּדָה֙ אֶת־עֲזַרְיָ֔ה וְה֕וּא בֶּן־שֵׁ֥שׁ עֶשְׂרֵ֖ה שָׁנָ֑ה וַיַּמְלִ֣כוּ אֹת֔וֹ תַּ֖חַת אָבִ֥יו אֲמַצְיָֽהוּ׃
2KI 14:23	HEB	1	2	חֲמֵשׁ עֶשְׂרֵ֣ה	15	RAW_PARSER	בִּשְׁנַת֙ חֲמֵשׁ־עֶשְׂרֵ֣ה שָׁנָ֔ה לַאֲמַצְיָ֥הוּ בֶן־יוֹאָ֖שׁ מֶ֣לֶךְ יְהוּדָ֑ה מָ֠לַךְ יָרָבְעָ֨ם בֶּן־יוֹאָ֤שׁ מֶֽלֶךְ־יִשְׂרָאֵל֙ בְּשֹׁ֣מְר֔וֹן אַרְבָּעִ֥ים וְאַחַ֖ת שָׁנָֽה׃
2KI 14:23	HEB	2	17	אַרְבָּעִ֥ים וְאַחַ֖ת	41	RAW_PARSER	בִּשְׁנַת֙ חֲמֵשׁ־עֶשְׂרֵ֣ה שָׁנָ֔ה לַאֲמַצְיָ֥הוּ בֶן־יוֹאָ֖שׁ מֶ֣לֶךְ יְהוּדָ֑ה מָ֠לַךְ יָרָבְעָ֨ם בֶּן־יוֹאָ֤שׁ מֶֽלֶךְ־יִשְׂרָאֵל֙ בְּשֹׁ֣מְר֔וֹן אַרְבָּעִ֥ים וְאַחַ֖ת שָׁנָֽה׃
2KI 15:1	HEB	1	2	עֶשְׂרִ֤ים וָשֶׁ֙בַע֙	27	RAW_PARSER	בִּשְׁנַ֨ת עֶשְׂרִ֤ים וָשֶׁ֙בַע֙ שָׁנָ֔ה לְיָרָבְעָ֖ם מֶ֣לֶךְ יִשְׂרָאֵ֑ל מָלַ֛ךְ עֲזַרְיָ֥ה בֶן־אֲמַצְיָ֖ה מֶ֥לֶךְ יְהוּדָֽה׃
2KI 15:2	HEB	1	2	שֵׁ֨שׁ עֶשְׂרֵ֤ה	16	RAW_PARSER	בֶּן־שֵׁ֨שׁ עֶשְׂרֵ֤ה שָׁנָה֙ הָיָ֣ה בְמָלְכ֔וֹ וַחֲמִשִּׁ֤ים וּשְׁתַּ֙יִם֙ שָׁנָ֔ה מָלַ֖ךְ בִּירוּשָׁלָ֑͏ִם וְשֵׁ֣ם אִמּ֔וֹ יְכָלְיָ֖הוּ מִירוּשָׁלָֽ͏ִם׃
2KI 15:2	HEB	2	7	וַחֲמִשִּׁ֤ים וּשְׁתַּ֙יִם֙	52	RAW_PARSER	בֶּן־שֵׁ֨שׁ עֶשְׂרֵ֤ה שָׁנָה֙ הָיָ֣ה בְמָלְכ֔וֹ וַחֲמִשִּׁ֤ים וּשְׁתַּ֙יִם֙ שָׁנָ֔ה מָלַ֖ךְ בִּירוּשָׁלָ֑͏ִם וְשֵׁ֣ם אִמּ֔וֹ יְכָלְיָ֖הוּ מִירוּשָׁלָֽ͏ִם׃
2KI 15:8	HEB	1	2	שְׁלֹשִׁ֤ים וּשְׁמֹנֶה֙	38	RAW_PARSER	בִּשְׁנַ֨ת שְׁלֹשִׁ֤ים וּשְׁמֹנֶה֙ שָׁנָ֔ה לַעֲזַרְיָ֖הוּ מֶ֣לֶךְ יְהוּדָ֑ה מָ֠לַךְ זְכַרְיָ֨הוּ בֶן־יָרָבְעָ֧ם עַל־יִשְׂרָאֵ֛ל בְּשֹׁמְר֖וֹן שִׁשָּׁ֥ה חֳדָשִֽׁים׃
2KI 15:8	HEB	2	15	שִׁשָּׁ֥ה	6	RAW_PARSER	בִּשְׁנַ֨ת שְׁלֹשִׁ֤ים וּשְׁמֹנֶה֙ שָׁנָ֔ה לַעֲזַרְיָ֖הוּ מֶ֣לֶךְ יְהוּדָ֑ה מָ֠לַךְ זְכַרְיָ֨הוּ בֶן־יָרָבְעָ֧ם עַל־יִשְׂרָאֵ֛ל בְּשֹׁמְר֖וֹן שִׁשָּׁ֥ה חֳדָשִֽׁים׃
2KI 15:12	HEB	1	10	רְבִיעִ֔ים	4	COVERAGE_ADD	ה֣וּא דְבַר־יְהוָ֗ה אֲשֶׁ֨ר דִּבֶּ֤ר אֶל־יֵהוּא֙ לֵאמֹ֔ר בְּנֵ֣י רְבִיעִ֔ים יֵשְׁב֥וּ לְךָ֖ עַל־כִּסֵּ֣א יִשְׂרָאֵ֑ל וֽ͏ַיְהִי־כֵֽן׃ פ
2KI 15:13	HEB	1	6	שְׁלֹשִׁ֤ים וָתֵ֙שַׁע֙	39	RAW_PARSER	שַׁלּ֤וּם בֶּן־יָבֵישׁ֙ מָלַ֔ךְ בִּשְׁנַ֨ת שְׁלֹשִׁ֤ים וָתֵ֙שַׁע֙ שָׁנָ֔ה לְעֻזִיָּ֖ה מֶ֣לֶךְ יְהוּדָ֑ה וַיִּמְלֹ֥ךְ יֶֽרַח־יָמִ֖ים בְּשֹׁמְרֽוֹן׃
2KI 15:17	HEB	1	2	שְׁלֹשִׁ֤ים וָתֵ֙שַׁע֙	39	RAW_PARSER	בִּשְׁנַ֨ת שְׁלֹשִׁ֤ים וָתֵ֙שַׁע֙ שָׁנָ֔ה לַעֲזַרְיָ֖ה מֶ֣לֶךְ יְהוּדָ֑ה מָ֠לַךְ מְנַחֵ֨ם בֶּן־גָּדִ֧י עַל־יִשְׂרָאֵ֛ל עֶ֥שֶׂר שָׁנִ֖ים בְּשֹׁמְרֽוֹן׃
2KI 15:17	HEB	2	14	עֶ֥שֶׂר	10	RAW_PARSER	בִּשְׁנַ֨ת שְׁלֹשִׁ֤ים וָתֵ֙שַׁע֙ שָׁנָ֔ה לַעֲזַרְיָ֖ה מֶ֣לֶךְ יְהוּדָ֑ה מָ֠לַךְ מְנַחֵ֨ם בֶּן־גָּדִ֧י עַל־יִשְׂרָאֵ֛ל עֶ֥שֶׂר שָׁנִ֖ים בְּשֹׁמְרֽוֹן׃
2KI 15:19	HEB	1	10	אֶ֖לֶף	1000	RAW_PARSER	בָּ֣א פ֤וּל מֶֽלֶךְ־אַשּׁוּר֙ עַל־הָאָ֔רֶץ וַיִּתֵּ֤ן מְנַחֵם֙ לְפ֔וּל אֶ֖לֶף כִּכַּר־כָּ֑סֶף לִהְי֤וֹת יָדָיו֙ אִתּ֔וֹ לְהַחֲזִ֥יק הַמַּמְלָכָ֖ה בְּיָדֽוֹ׃
2KI 15:20	HEB	1	14	חֲמִשִּׁ֧ים	50	RAW_PARSER	וַיֹּצֵא֩ מְנַחֵ֨ם אֶת־הַכֶּ֜סֶף עַל־יִשְׂרָאֵ֗ל עַ֚ל כָּל־גִּבּוֹרֵ֣י הַחַ֔יִל לָתֵת֙ לְמֶ֣לֶךְ אַשּׁ֔וּר חֲמִשִּׁ֧ים שְׁקָלִ֛ים כֶּ֖סֶף לְאִ֣ישׁ אֶחָ֑ד וַיָּ֙שָׁב֙ מֶ֣לֶךְ אַשּׁ֔וּר וְלֹא־עָ֥מַד שָׁ֖ם בָּאָֽרֶץ׃
2KI 15:20	HEB	2	18	אֶחָ֑ד	1	RAW_PARSER	וַיֹּצֵא֩ מְנַחֵ֨ם אֶת־הַכֶּ֜סֶף עַל־יִשְׂרָאֵ֗ל עַ֚ל כָּל־גִּבּוֹרֵ֣י הַחַ֔יִל לָתֵת֙ לְמֶ֣לֶךְ אַשּׁ֔וּר חֲמִשִּׁ֧ים שְׁקָלִ֛ים כֶּ֖סֶף לְאִ֣ישׁ אֶחָ֑ד וַיָּ֙שָׁב֙ מֶ֣לֶךְ אַשּׁ֔וּר וְלֹא־עָ֥מַד שָׁ֖ם בָּאָֽרֶץ׃
2KI 15:23	HEB	1	2	חֲמִשִּׁ֣ים	50	RAW_PARSER	בִּשְׁנַת֙ חֲמִשִּׁ֣ים שָׁנָ֔ה לַעֲזַרְיָ֖ה מֶ֣לֶךְ יְהוּדָ֑ה מָ֠לַךְ פְּקַֽחְיָ֨ה בֶן־מְנַחֵ֧ם עַל־יִשְׂרָאֵ֛ל בְּשֹׁמְר֖וֹן שְׁנָתָֽיִם׃
2KI 15:23	HEB	2	14	שְׁנָתָֽיִם׃	2	RAW_PARSER	בִּשְׁנַת֙ חֲמִשִּׁ֣ים שָׁנָ֔ה לַעֲזַרְיָ֖ה מֶ֣לֶךְ יְהוּדָ֑ה מָ֠לַךְ פְּקַֽחְיָ֨ה בֶן־מְנַחֵ֧ם עַל־יִשְׂרָאֵ֛ל בְּשֹׁמְר֖וֹן שְׁנָתָֽיִם׃
2KI 15:25	HEB	1	18	חֲמִשִּׁ֥ים	50	RAW_PARSER	וַיִּקְשֹׁ֣ר עָלָיו֩ פֶּ֨קַח בֶּן־רְמַלְיָ֜הוּ שָׁלִישׁ֗וֹ וַיַּכֵּ֨הוּ בְשֹׁמְר֜וֹן בְּאַרְמ֤וֹן בֵּית־*מֶלֶךְ **הַמֶּ֙לֶךְ֙ אֶת־אַרְגֹּ֣ב וְאֶת־הָאַרְיֵ֔ה וְעִמּ֛וֹ חֲמִשִּׁ֥ים אִ֖ישׁ מִבְּנֵ֣י גִלְעָדִ֑ים וַיְמִיתֵ֖הוּ וַיִּמְלֹ֥ךְ תַּחְתָּֽיו׃
2KI 15:27	HEB	1	2	חֲמִשִּׁ֤ים וּשְׁתַּ֙יִם֙	52	RAW_PARSER	בִּשְׁנַ֨ת חֲמִשִּׁ֤ים וּשְׁתַּ֙יִם֙ שָׁנָ֔ה לַעֲזַרְיָ֖ה מֶ֣לֶךְ יְהוּדָ֑ה מָ֠לַךְ פֶּ֣קַח בֶּן־רְמַלְיָ֧הוּ עַל־יִשְׂרָאֵ֛ל בְּשֹׁמְר֖וֹן עֶשְׂרִ֥ים שָׁנָֽה׃
2KI 15:27	HEB	2	15	עֶשְׂרִ֥ים	20	RAW_PARSER	בִּשְׁנַ֨ת חֲמִשִּׁ֤ים וּשְׁתַּ֙יִם֙ שָׁנָ֔ה לַעֲזַרְיָ֖ה מֶ֣לֶךְ יְהוּדָ֑ה מָ֠לַךְ פֶּ֣קַח בֶּן־רְמַלְיָ֧הוּ עַל־יִשְׂרָאֵ֛ל בְּשֹׁמְר֖וֹן עֶשְׂרִ֥ים שָׁנָֽה׃
2KI 15:30	HEB	1	15	עֶשְׂרִ֔ים	20	RAW_PARSER	וַיִּקְשָׁר־קֶ֜שֶׁר הוֹשֵׁ֣עַ בֶּן־אֵלָ֗ה עַל־פֶּ֙קַח֙ בֶּן־רְמַלְיָ֔הוּ וַיַּכֵּ֙הוּ֙ וַיְמִיתֵ֔הוּ וַיִּמְלֹ֖ךְ תַּחְתָּ֑יו בִּשְׁנַ֣ת עֶשְׂרִ֔ים לְיוֹתָ֖ם בֶּן־עֻזִיָּֽה׃
2KI 15:32	HEB	1	2	שְׁתַּ֔יִם	2	RAW_PARSER	בִּשְׁנַ֣ת שְׁתַּ֔יִם לְפֶ֥קַח בֶּן־רְמַלְיָ֖הוּ מֶ֣לֶךְ יִשְׂרָאֵ֑ל מָלַ֛ךְ יוֹתָ֥ם בֶּן־עֻזִיָּ֖הוּ מֶ֥לֶךְ יְהוּדָֽה׃
2KI 15:33	HEB	1	2	עֶשְׂרִ֨ים וְחָמֵ֤שׁ	25	RAW_PARSER	בֶּן־עֶשְׂרִ֨ים וְחָמֵ֤שׁ שָׁנָה֙ הָיָ֣ה בְמָלְכ֔וֹ וְשֵׁשׁ־עֶשְׂרֵ֣ה שָׁנָ֔ה מָלַ֖ךְ בִּירוּשָׁלָ֑͏ִם וְשֵׁ֣ם אִמּ֔וֹ יְרוּשָׁ֖א בַּת־צָדֽוֹק׃
2KI 15:33	HEB	2	7	וְשֵׁשׁ עֶשְׂרֵ֣ה	16	RAW_PARSER	בֶּן־עֶשְׂרִ֨ים וְחָמֵ֤שׁ שָׁנָה֙ הָיָ֣ה בְמָלְכ֔וֹ וְשֵׁשׁ־עֶשְׂרֵ֣ה שָׁנָ֔ה מָלַ֖ךְ בִּירוּשָׁלָ֑͏ִם וְשֵׁ֣ם אִמּ֔וֹ יְרוּשָׁ֖א בַּת־צָדֽוֹק׃
2KI 16:1	HEB	1	2	שְׁבַֽע עֶשְׂרֵ֣ה	17	RAW_PARSER	בִּשְׁנַת֙ שְׁבַֽע־עֶשְׂרֵ֣ה שָׁנָ֔ה לְפֶ֖קַח בֶּן־רְמַלְיָ֑הוּ מָלַ֛ךְ אָחָ֥ז בֶּן־יוֹתָ֖ם מֶ֥לֶךְ יְהוּדָֽה׃
2KI 16:2	HEB	1	2	עֶשְׂרִ֤ים	20	RAW_PARSER	בֶּן־עֶשְׂרִ֤ים שָׁנָה֙ אָחָ֣ז בְּמָלְכ֔וֹ וְשֵׁשׁ־עֶשְׂרֵ֣ה שָׁנָ֔ה מָלַ֖ךְ בִּירוּשָׁלָ֑͏ִם וְלֹא־עָשָׂ֣ה הַיָּשָׁ֗ר בְּעֵינֵ֛י יְהוָ֥ה אֱלֹהָ֖יו כְּדָוִ֥ד אָבִֽיו׃
2KI 16:2	HEB	2	6	וְשֵׁשׁ עֶשְׂרֵ֣ה	16	RAW_PARSER	בֶּן־עֶשְׂרִ֤ים שָׁנָה֙ אָחָ֣ז בְּמָלְכ֔וֹ וְשֵׁשׁ־עֶשְׂרֵ֣ה שָׁנָ֔ה מָלַ֖ךְ בִּירוּשָׁלָ֑͏ִם וְלֹא־עָשָׂ֣ה הַיָּשָׁ֗ר בְּעֵינֵ֛י יְהוָ֥ה אֱלֹהָ֖יו כְּדָוִ֥ד אָבִֽיו׃
2KI 17:1	HEB	1	2	שְׁתֵּ֣ים עֶשְׂרֵ֔ה	12	RAW_PARSER	בִּשְׁנַת֙ שְׁתֵּ֣ים עֶשְׂרֵ֔ה לְאָחָ֖ז מֶ֣לֶךְ יְהוּדָ֑ה מָ֠לַךְ הוֹשֵׁ֨עַ בֶּן־אֵלָ֧ה בְשֹׁמְר֛וֹן עַל־יִשְׂרָאֵ֖ל תֵּ֥שַׁע שָׁנִֽים׃
2KI 17:1	HEB	2	14	תֵּ֥שַׁע	9	RAW_PARSER	בִּשְׁנַת֙ שְׁתֵּ֣ים עֶשְׂרֵ֔ה לְאָחָ֖ז מֶ֣לֶךְ יְהוּדָ֑ה מָ֠לַךְ הוֹשֵׁ֨עַ בֶּן־אֵלָ֧ה בְשֹׁמְר֛וֹן עַל־יִשְׂרָאֵ֖ל תֵּ֥שַׁע שָׁנִֽים׃
