BK	CH	VS	OL_REF	LANG	TOKEN_NO	TOKEN	CANON_TOKEN	ATOM_VALUE	ATOM_TYPE	STATUS	REASON	SEED_LEXEME_OCCURRENCES	OL_TEXT	COVERAGE_CLASS	SEMANTIC_VALUE	AUDIT_REASON
1SA	21	12	1SA 21:12	HEB	21	בְּרִבְבֹתָֽיו׃	בְּרִבְבֹתָיו	10000	scale10000	NOVEL_NUMERIC_CANDIDATE		0	וַיֹּ֨אמְר֜וּ עַבְדֵ֤י אָכִישׁ֙ אֵלָ֔יו הֲלוֹא־זֶ֥ה דָוִ֖ד מֶ֣לֶךְ הָאָ֑רֶץ הֲל֣וֹא לָזֶ֗ה יַעֲנ֤וּ בַמְּחֹלוֹת֙ לֵאמֹ֔ר הִכָּ֤ה שָׁאוּל֙ *בַּאֲלָפָו **בַּאֲלָפָ֔יו וְדָוִ֖ד *בְּרִבְבֹתָו **בְּרִבְבֹתָֽיו׃	NUMERIC	10000	Pointed OL form is a genuine cardinal, ordinal, fraction, or numeric scale in context.
1SA	29	5	1SA 29:5	HEB	11	בַּֽאֲלָפָ֔יו	בַּאֲלָפָיו	1000	scale1000	NOVEL_NUMERIC_CANDIDATE		0	הֲלוֹא־זֶ֣ה דָוִ֔ד אֲשֶׁ֧ר יַעֲנוּ־ל֛וֹ בַּמְּחֹל֖וֹת לֵאמֹ֑ר הִכָּ֤ה שָׁאוּל֙ בַּֽאֲלָפָ֔יו וְדָוִ֖ד *בְּרִבְבֹתָו **בְּרִבְבֹתָֽיו׃ ס	NUMERIC	1000	Pointed OL form is a genuine cardinal, ordinal, fraction, or numeric scale in context.
1SA	29	5	1SA 29:5	HEB	13	בְּרִבְבֹתָו	בְּרִבְבֹתָו	10000	scale10000	NOVEL_NUMERIC_CANDIDATE		0	הֲלוֹא־זֶ֣ה דָוִ֔ד אֲשֶׁ֧ר יַעֲנוּ־ל֛וֹ בַּמְּחֹל֖וֹת לֵאמֹ֑ר הִכָּ֤ה שָׁאוּל֙ בַּֽאֲלָפָ֔יו וְדָוִ֖ד *בְּרִבְבֹתָו **בְּרִבְבֹתָֽיו׃ ס	QERE_SUPERSEDED		Ketiv form superseded by the explicit qere form in the supplied OL source; not double-counted.
1SA	29	5	1SA 29:5	HEB	14	בְּרִבְבֹתָֽיו׃	בְּרִבְבֹתָיו	10000	scale10000	NOVEL_NUMERIC_CANDIDATE		0	הֲלוֹא־זֶ֣ה דָוִ֔ד אֲשֶׁ֧ר יַעֲנוּ־ל֛וֹ בַּמְּחֹל֖וֹת לֵאמֹ֑ר הִכָּ֤ה שָׁאוּל֙ בַּֽאֲלָפָ֔יו וְדָוִ֖ד *בְּרִבְבֹתָו **בְּרִבְבֹתָֽיו׃ ס	NUMERIC	10000	Pointed OL form is a genuine cardinal, ordinal, fraction, or numeric scale in context.
1SA	30	16	1SA 30:16	HEB	9	וְשֹׁתִים֙	וְשֹׁתִים	2	cardinal_or_ordinal	NOVEL_NUMERIC_CANDIDATE		0	וַיֹּ֣רִדֵ֔הוּ וְהִנֵּ֥ה נְטֻשִׁ֖ים עַל־פְּנֵ֣י כָל־הָאָ֑רֶץ אֹכְלִ֤ים וְשֹׁתִים֙ וְחֹ֣גְגִ֔ים בְּכֹל֙ הַשָּׁלָ֣ל הַגָּד֔וֹל אֲשֶׁ֥ר לָקְח֛וּ מֵאֶ֥רֶץ פְּלִשְׁתִּ֖ים וּמֵאֶ֥רֶץ יְהוּדָֽה׃	EXCLUDED_LEXICAL_HOMOGRAPH		Pointed OL form is lexical/non-numeric in this context; excluded from the numeric index.
2CH	5	13	2CH 5:13	HEB	2	כְ֠אֶחָד	כְאֶחָד	1	cardinal	NOVEL_NUMERIC_CANDIDATE		0	וַיְהִ֣י כְ֠אֶחָד *לַמַּחֲצֹצְרִים **לַמְחַצְּרִ֨ים וְלַמְשֹֽׁרֲרִ֜ים לְהַשְׁמִ֣יעַ קוֹל־אֶחָ֗ד לְהַלֵּ֣ל וּלְהֹדוֹת֮ לַיהוָה֒ וּכְהָרִ֣ים ק֠וֹל בַּחֲצֹצְר֨וֹת וּבִמְצִלְתַּ֜יִם וּבִכְלֵ֣י הַשִּׁ֗יר וּבְהַלֵּ֤ל לַיהוָה֙ כִּ֣י ט֔וֹב כִּ֥י לְעוֹלָ֖ם חַסְדּ֑וֹ וְהַבַּ֛יִת מָלֵ֥א עָנָ֖ן בֵּ֥ית יְהוָֽה׃	NUMERIC	1	Pointed OL form is a genuine cardinal, ordinal, fraction, or numeric scale in context.
2CH	8	9	2CH 8:9	HEB	15	שָׁלִישָׁ֔יו	שָׁלִישָׁיו	3	ordinal	NOVEL_NUMERIC_CANDIDATE		0	וּמִן־בְּנֵי֙ יִשְׂרָאֵ֔ל אֲ֠שֶׁר לֹא־נָתַ֧ן שְׁלֹמֹ֛ה לַעֲבָדִ֖ים לִמְלַאכְתּ֑וֹ כִּי־הֵ֜מָּה אַנְשֵׁ֤י מִלְחָמָה֙ וְשָׂרֵ֣י שָׁלִישָׁ֔יו וְשָׂרֵ֥י רִכְבּ֖וֹ וּפָרָשָֽׁיו׃ פ	EXCLUDED_LEXICAL_HOMOGRAPH		Pointed OL form is lexical/non-numeric in this context; excluded from the numeric index.
2CH	18	6	2CH 18:6	HEB	9	מֵאֹתֽוֹ׃	מֵאֹתוֹ	100	scale100	NOVEL_NUMERIC_CANDIDATE		0	וַיֹּ֙אמֶר֙ יְה֣וֹשָׁפָ֔ט הַאֵ֨ין פֹּ֥ה נָבִ֛יא לַיהוָ֖ה ע֑וֹד וְנִדְרְשָׁ֖ה מֵאֹתֽוֹ׃	EXCLUDED_LEXICAL_HOMOGRAPH		Pointed OL form is lexical/non-numeric in this context; excluded from the numeric index.
2CH	18	7	2CH 18:7	HEB	12	מֽ͏ֵאֹת֜וֹ	מֵאֹתוֹ	100	scale100	NOVEL_NUMERIC_CANDIDATE		0	וַיֹּ֣אמֶר מֶֽלֶךְ־יִשְׂרָאֵ֣ל_׀ אֶֽל־יְהוֹשָׁפָ֡ט ע֣וֹד אִישׁ־אֶחָ֡ד לִדְרוֹשׁ֩ אֶת־יְהוָ֨ה מֽ͏ֵאֹת֜וֹ וַאֲנִ֣י שְׂנֵאתִ֗יהוּ כִּֽי־אֵ֠ינֶנּוּ מִתְנַבֵּ֨א עָלַ֤י לְטוֹבָה֙ כִּ֣י כָל־יָמָ֣יו לְרָעָ֔ה ה֖וּא מִיכָ֣יְהוּ בֶן־יִמְלָ֑א וַיֹּ֙אמֶר֙ יְה֣וֹשָׁפָ֔ט אַל־יֹאמַ֥ר הַמֶּ֖לֶךְ כֵּֽן׃	EXCLUDED_LEXICAL_HOMOGRAPH		Pointed OL form is lexical/non-numeric in this context; excluded from the numeric index.
2CH	18	12	2CH 18:12	HEB	20	כְּאַחַ֥ד	כְּאַחַד	1	cardinal	NOVEL_NUMERIC_CANDIDATE		0	וְהַמַּלְאָ֞ךְ אֲשֶׁר־הָלַ֣ךְ_׀ לִקְרֹ֣א לְמִיכָ֗יְהוּ דִּבֶּ֤ר אֵלָיו֙ לֵאמֹ֔ר הִנֵּ֞ה דִּבְרֵ֧י הַנְּבִאִ֛ים פֶּֽה־אֶחָ֥ד ט֖וֹב אֶל־הַמֶּ֑לֶךְ וִֽיהִי־נָ֧א דְבָרְךָ֛ כְּאַחַ֥ד מֵהֶ֖ם וְדִבַּ֥רְתָּ טּֽוֹב׃	NUMERIC	1	Pointed OL form is a genuine cardinal, ordinal, fraction, or numeric scale in context.
2KI	3	11	2KI 3:11	HEB	10	מֵאוֹת֑וֹ	מֵאוֹתוֹ	100	scale100	NOVEL_NUMERIC_CANDIDATE		0	וַיֹּ֣אמֶר יְהוֹשָׁפָ֗ט הַאֵ֨ין פֹּ֤ה נָבִיא֙ לַֽיהוָ֔ה וְנִדְרְשָׁ֥ה אֶת־יְהוָ֖ה מֵאוֹת֑וֹ וַ֠יַּעַן אֶחָ֞ד מֵעַבְדֵ֤י מֶֽלֶךְ־יִשְׂרָאֵל֙ וַיֹּ֔אמֶר פֹּ֚ה אֱלִישָׁ֣ע בֶּן־שָׁפָ֔ט אֲשֶׁר־יָ֥צַק מַ֖יִם עַל־יְדֵ֥י אֵלִיָּֽהוּ׃	EXCLUDED_LEXICAL_HOMOGRAPH		Pointed OL form is lexical/non-numeric in this context; excluded from the numeric index.
2KI	8	8	2KI 8:8	HEB	15	מֵֽאוֹתוֹ֙	מֵאוֹתוֹ	100	scale100	NOVEL_NUMERIC_CANDIDATE		0	וַיֹּ֨אמֶר הַמֶּ֜לֶךְ אֶל־חֲזָהאֵ֗ל קַ֤ח בְּיָֽדְךָ֙ מִנְחָ֔ה וְלֵ֕ךְ לִקְרַ֖את אִ֣ישׁ הָאֱלֹהִ֑ים וְדָרַשְׁתָּ֨ אֶת־יְהוָ֤ה מֵֽאוֹתוֹ֙ לֵאמֹ֔ר הַאֶחְיֶ֖ה מֵחֳלִ֥י זֶֽה׃	EXCLUDED_LEXICAL_HOMOGRAPH		Pointed OL form is lexical/non-numeric in this context; excluded from the numeric index.
2KI	10	25	2KI 10:25	HEB	8	וְלַשָּׁלִשִׁ֜ים	וְלַשָּׁלִשִׁים	30	cardinal	NOVEL_NUMERIC_CANDIDATE		0	וַיְהִ֞י כְּכַלֹּת֣וֹ_׀ לַעֲשׂ֣וֹת הָעֹלָ֗ה וַיֹּ֣אמֶר יֵ֠הוּא לָרָצִ֨ים וְלַשָּׁלִשִׁ֜ים בֹּ֤אוּ הַכּוּם֙ אִ֣ישׁ אַל־יֵצֵ֔א וַיַּכּ֖וּם לְפִי־חָ֑רֶב וַיַּשְׁלִ֗כוּ הָֽרָצִים֙ וְהַשָּׁ֣לִשִׁ֔ים וַיֵּלְכ֖וּ עַד־עִ֥יר בֵּית־הַבָּֽעַל׃	EXCLUDED_LEXICAL_HOMOGRAPH		Contextual noun for officers/guards, not numeral thirty.
2KI	10	25	2KI 10:25	HEB	19	וְהַשָּׁ֣לִשִׁ֔ים	וְהַשָּׁלִשִׁים	30	cardinal	NOVEL_NUMERIC_CANDIDATE		0	וַיְהִ֞י כְּכַלֹּת֣וֹ_׀ לַעֲשׂ֣וֹת הָעֹלָ֗ה וַיֹּ֣אמֶר יֵ֠הוּא לָרָצִ֨ים וְלַשָּׁלִשִׁ֜ים בֹּ֤אוּ הַכּוּם֙ אִ֣ישׁ אַל־יֵצֵ֔א וַיַּכּ֖וּם לְפִי־חָ֑רֶב וַיַּשְׁלִ֗כוּ הָֽרָצִים֙ וְהַשָּׁ֣לִשִׁ֔ים וַיֵּלְכ֖וּ עַד־עִ֥יר בֵּית־הַבָּֽעַל׃	EXCLUDED_LEXICAL_HOMOGRAPH		Contextual noun for officers/guards, not numeral thirty.
2KI	15	12	2KI 15:12	HEB	10	רְבִיעִ֔ים	רְבִיעִים	4	ordinal	NOVEL_NUMERIC_CANDIDATE		0	ה֣וּא דְבַר־יְהוָ֗ה אֲשֶׁ֨ר דִּבֶּ֤ר אֶל־יֵהוּא֙ לֵאמֹ֔ר בְּנֵ֣י רְבִיעִ֔ים יֵשְׁב֥וּ לְךָ֖ עַל־כִּסֵּ֣א יִשְׂרָאֵ֑ל וֽ͏ַיְהִי־כֵֽן׃ פ	NUMERIC	4	Pointed OL form is a genuine cardinal, ordinal, fraction, or numeric scale in context.
2PE	3	8	2PE 3:8	GRK	1	Ἓν	ἓν	1	cardinal	NOVEL_NUMERIC_CANDIDATE		0	Ἓν δὲ τοῦτο μὴ λανθανέτω ὑμᾶς, ἀγαπητοί, ὅτι μία ἡμέρα παρὰ κυρίῳ ὡς χίλια ἔτη καὶ χίλια ἔτη ὡς ἡμέρα μία.	NUMERIC	1	Pointed OL form is a genuine cardinal, ordinal, fraction, or numeric scale in context.
2SA	2	18	2SA 2:18	HEB	12	כְּאַחַ֥ד	כְּאַחַד	1	cardinal	NOVEL_NUMERIC_CANDIDATE		0	וַיִּֽהְיוּ־שָׁ֗ם שְׁלֹשָׁה֙ בְּנֵ֣י צְרוּיָ֔ה יוֹאָ֥ב וַאֲבִישַׁ֖י וַעֲשָׂהאֵ֑ל וַעֲשָׂהאֵל֙ קַ֣ל בְּרַגְלָ֔יו כְּאַחַ֥ד הַצְּבָיִ֖ם אֲשֶׁ֥ר בַּשָּׂדֶֽה׃	NUMERIC	1	Pointed OL form is a genuine cardinal, ordinal, fraction, or numeric scale in context.
2SA	9	11	2SA 9:11	HEB	19	כְּאַחַ֖ד	כְּאַחַד	1	cardinal	NOVEL_NUMERIC_CANDIDATE		0	וַיֹּ֤אמֶר צִיבָא֙ אֶל־הַמֶּ֔לֶךְ כְּכֹל֩ אֲשֶׁ֨ר יְצַוֶּ֜ה אֲדֹנִ֤י הַמֶּ֙לֶךְ֙ אֶת־עַבְדּ֔וֹ כֵּ֖ן יַעֲשֶׂ֣ה עַבְדֶּ֑ךָ וּמְפִיבֹ֗שֶׁת אֹכֵל֙ עַל־שֻׁלְחָנִ֔י כְּאַחַ֖ד מִבְּנֵ֥י הַמֶּֽלֶךְ׃	NUMERIC	1	Pointed OL form is a genuine cardinal, ordinal, fraction, or numeric scale in context.
2SA	13	13	2SA 13:13	HEB	8	כְּאַחַ֥ד	כְּאַחַד	1	cardinal	NOVEL_NUMERIC_CANDIDATE		0	וַאֲנִ֗י אָ֤נָה אוֹלִיךְ֙ אֶת־חֶרְפָּתִ֔י וְאַתָּ֗ה תִּהְיֶ֛ה כְּאַחַ֥ד הַנְּבָלִ֖ים בְּיִשְׂרָאֵ֑ל וְעַתָּה֙ דַּבֶּר־נָ֣א אֶל־הַמֶּ֔לֶךְ כִּ֛י לֹ֥א יִמְנָעֵ֖נִי מִמֶּֽךָּ׃	NUMERIC	1	Pointed OL form is a genuine cardinal, ordinal, fraction, or numeric scale in context.
2SA	18	2	2SA 18:2	HEB	15	וְהַ֨שְּׁלִשִׁ֔ת	וְהַשְּׁלִשִׁת	3	cardinal	NOVEL_NUMERIC_CANDIDATE		0	וַיְשַׁלַּ֨ח דָּוִ֜ד אֶת־הָעָ֗ם הַשְּׁלִשִׁ֤ית בְּיַד־יוֹאָב֙ וְ֠הַשְּׁלִשִׁית בְּיַ֨ד אֲבִישַׁ֤י בֶּן־צְרוּיָה֙ אֲחִ֣י יוֹאָ֔ב וְהַ֨שְּׁלִשִׁ֔ת בְּיַ֖ד אִתַּ֣י הַגִּתִּ֑י ס וַיֹּ֤אמֶר הַמֶּ֙לֶךְ֙ אֶל־הָעָ֔ם יָצֹ֥א אֵצֵ֛א גַּם־אֲנִ֖י עִמָּכֶֽם׃	NUMERIC	1/3	Pointed OL form is a genuine cardinal, ordinal, fraction, or numeric scale in context.
2SA	18	3	2SA 18:3	HEB	15	חֶצְיֵ֙נוּ֙	חֶצְיֵנוּ	1/2	fraction	NOVEL_NUMERIC_CANDIDATE		0	וַיֹּ֨אמֶר הָעָ֜ם לֹ֣א תֵצֵ֗א כִּי֩ אִם־נֹ֨ס נָנ֜וּס לֹא־יָשִׂ֧ימוּ אֵלֵ֣ינוּ לֵ֗ב וְאִם־יָמֻ֤תוּ חֶצְיֵ֙נוּ֙ לֹֽא־יָשִׂ֤ימוּ אֵלֵ֙ינוּ֙ לֵ֔ב כִּֽי־עַתָּ֥ה כָמֹ֖נוּ עֲשָׂרָ֣ה אֲלָפִ֑ים וְעַתָּ֣ה ט֔וֹב כִּי־תִֽהְיֶה־לָּ֥נוּ מֵעִ֖יר *לַעְזִיר **לַעְזֽוֹר׃ ס	NUMERIC	1/2	Pointed OL form is a genuine cardinal, ordinal, fraction, or numeric scale in context.
2SA	19	3	2SA 19:3	HEB	2	הַתְּשֻׁעָ֜ה	הַתְּשֻׁעָה	9	cardinal	NOVEL_NUMERIC_CANDIDATE		0	וַתְּהִ֨י הַתְּשֻׁעָ֜ה בַּיּ֥וֹם הַה֛וּא לְאֵ֖בֶל לְכָל־הָעָ֑ם כִּֽי־שָׁמַ֣ע הָעָ֗ם בַּיּ֤וֹם הַהוּא֙ לֵאמֹ֔ר נֶעֱצַ֥ב הַמֶּ֖לֶךְ עַל־בְּנֽוֹ׃	EXCLUDED_LEXICAL_HOMOGRAPH		Pointed OL form is lexical/non-numeric in this context; excluded from the numeric index.
2SA	21	9	2SA 21:9	HEB	10	שְׁבַעְתָּ֖ם	שְׁבַעְתָּם	7	cardinal	NOVEL_NUMERIC_CANDIDATE		0	וַֽיִּתְּנֵ֞ם בְּיַ֣ד הַגִּבְעֹנִ֗ים וַיֹּקִיעֻ֤ם בָּהָר֙ לִפְנֵ֣י יְהוָ֔ה וַיִּפְּל֥וּ *שִׁבְעָתַיִם **שְׁבַעְתָּ֖ם יָ֑חַד *וְהֵם **וְהֵ֨מָּה הֻמְת֜וּ בִּימֵ֤י קָצִיר֙ בָּרִ֣אשֹׁנִ֔ים *תְּחִלַּת **בִּתְחִלַּ֖ת קְצִ֥יר שְׂעֹרִֽים׃	NUMERIC	7	Pointed OL form is a genuine cardinal, ordinal, fraction, or numeric scale in context.
2SA	24	24	2SA 24:24	HEB	9	מֵאֽוֹתְךָ֙	מֵאוֹתְךָ	100	scale100	NOVEL_NUMERIC_CANDIDATE		0	וַיֹּ֨אמֶר הַמֶּ֜לֶךְ אֶל־אֲרַ֗וְנָה לֹ֚א כִּֽי־קָנ֨וֹ אֶקְנֶ֤ה מֵאֽוֹתְךָ֙ בִּמְחִ֔יר וְלֹ֧א אַעֲלֶ֛ה לַיהוָ֥ה אֱלֹהַ֖י עֹל֣וֹת חִנָּ֑ם וַיִּ֨קֶן דָּוִ֤ד אֶת־הַגֹּ֙רֶן֙ וְאֶת־הַבָּקָ֔ר בְּכֶ֖סֶף שְׁקָלִ֥ים חֲמִשִּֽׁים׃	EXCLUDED_LEXICAL_HOMOGRAPH		Pointed OL form is lexical/non-numeric in this context; excluded from the numeric index.
ACT	11	26	ACT 11:26	GRK	22	πρώτως	πρώτως	1	ordinal	NOVEL_NUMERIC_CANDIDATE		0	καὶ εὑρὼν ἤγαγεν εἰς Ἀντιόχειαν. ἐγένετο δὲ αὐτοῖς καὶ ἐνιαυτὸν ὅλον συναχθῆναι ἐν τῇ ἐκκλησίᾳ καὶ διδάξαι ὄχλον ἱκανόν, χρηματίσαι τε πρώτως ἐν Ἀντιοχείᾳ τοὺς μαθητὰς Χριστιανούς.	NUMERIC	1	Pointed OL form is a genuine cardinal, ordinal, fraction, or numeric scale in context.
ACT	21	19	ACT 21:19	GRK	6	ἓν	ἓν	1	cardinal	NOVEL_NUMERIC_CANDIDATE		0	καὶ ἀσπασάμενος αὐτοὺς ἐξηγεῖτο καθ’ ἓν ἕκαστον, ὧν ἐποίησεν ὁ θεὸς ἐν τοῖς ἔθνεσιν διὰ τῆς διακονίας αὐτοῦ.	NUMERIC	1	Pointed OL form is a genuine cardinal, ordinal, fraction, or numeric scale in context.
ACT	23	6	ACT 23:6	GRK	7	ἓν	ἓν	1	cardinal	NOVEL_NUMERIC_CANDIDATE		0	Γνοὺς δὲ ὁ Παῦλος ὅτι τὸ ἓν μέρος ἐστὶν Σαδδουκαίων τὸ δὲ ἕτερον Φαρισαίων ἔκραζεν ἐν τῷ συνεδρίῳ, Ἄνδρες ἀδελφοί, ἐγὼ Φαρισαῖός εἰμι, υἱὸς Φαρισαίων, περὶ ἐλπίδος καὶ ἀναστάσεως νεκρῶν [ἐγὼ] κρίνομαι.	NUMERIC	1	Pointed OL form is a genuine cardinal, ordinal, fraction, or numeric scale in context.
ACT	28	25	ACT 28:25	GRK	11	ἕν	ἕν	1	cardinal	NOVEL_NUMERIC_CANDIDATE		0	ἀσύμφωνοι δὲ ὄντες πρὸς ἀλλήλους ἀπελύοντο εἰπόντος τοῦ Παύλου ῥῆμα ἕν, ὅτι Καλῶς τὸ πνεῦμα τὸ ἅγιον ἐλάλησεν διὰ Ἠσαΐου τοῦ προφήτου πρὸς τοὺς πατέρας ὑμῶν	NUMERIC	1	Pointed OL form is a genuine cardinal, ordinal, fraction, or numeric scale in context.
AMO	4	4	AMO 4:4	HEB	13	מַעְשְׂרֹֽתֵיכֶֽם׃	מַעְשְׂרֹתֵיכֶם	10	cardinal	NOVEL_NUMERIC_CANDIDATE		0	בֹּ֤אוּ בֵֽית־אֵל֙ וּפִשְׁע֔וּ הַגִּלְגָּ֖ל הַרְבּ֣וּ לִפְשֹׁ֑עַ וְהָבִ֤יאוּ לַבֹּ֙קֶר֙ זִבְחֵיכֶ֔ם לִשְׁלֹ֥שֶׁת יָמִ֖ים מַעְשְׂרֹֽתֵיכֶֽם׃	NUMERIC	1/10	Pointed OL form is a genuine cardinal, ordinal, fraction, or numeric scale in context.
AMO	4	6	AMO 4:6	HEB	6	שִׁנַּ֙יִם֙	שִׁנַּיִם	2	cardinal_or_ordinal	NOVEL_NUMERIC_CANDIDATE		0	וְגַם־אֲנִי֩ נָתַ֨תִּי לָכֶ֜ם נִקְי֤וֹן שִׁנַּ֙יִם֙ בְּכָל־עָ֣רֵיכֶ֔ם וְחֹ֣סֶר לֶ֔חֶם בְּכֹ֖ל מְקוֹמֹֽתֵיכֶ֑ם וְלֹֽא־שַׁבְתֶּ֥ם עָדַ֖י נְאֻם־יְהוָֽה׃	EXCLUDED_LEXICAL_HOMOGRAPH		Pointed OL form is lexical/non-numeric in this context; excluded from the numeric index.
AMO	6	6	AMO 6:6	HEB	1	הַשֹּׁתִ֤ים	הַשֹּׁתִים	2	cardinal_or_ordinal	NOVEL_NUMERIC_CANDIDATE		0	הַשֹּׁתִ֤ים בְּמִזְרְקֵי֙ יַ֔יִן וְרֵאשִׁ֥ית שְׁמָנִ֖ים יִמְשָׁ֑חוּ וְלֹ֥א נֶחְל֖וּ עַל־שֵׁ֥בֶר יוֹסֵֽף	EXCLUDED_LEXICAL_HOMOGRAPH		Pointed OL form is lexical/non-numeric in this context; excluded from the numeric index.
AMO	8	14	AMO 8:14	HEB	11	שָׁ֑בַע	שָׁבַע	7	cardinal	NOVEL_NUMERIC_CANDIDATE		0	הַנִּשְׁבָּעִים֙ בְּאַשְׁמַ֣ת שֹֽׁמְר֔וֹן וְאָמְר֗וּ חֵ֤י אֱלֹהֶ֙יךָ֙ דָּ֔ן וְחֵ֖י דֶּ֣רֶךְ בְּאֵֽר־שָׁ֑בַע וְנָפְל֖וּ וְלֹא־יָק֥וּמוּ עֽוֹד׃ ס	EXCLUDED_LEXICAL_HOMOGRAPH		Pointed OL form is lexical/non-numeric in this context; excluded from the numeric index.
DAN	1	10	DAN 1:10	HEB	15	מִשְׁתֵּיכֶ֑ם	מִשְׁתֵּיכֶם	2	cardinal_or_ordinal	NOVEL_NUMERIC_CANDIDATE		0	וַיֹּ֜אמֶר שַׂ֤ר הַסָּרִיסִים֙ לְדָ֣נִיֵּ֔אל יָרֵ֤א אֲנִי֙ אֶת־אֲדֹנִ֣י הַמֶּ֔לֶךְ אֲשֶׁ֣ר מִנָּ֔ה אֶת־מַאֲכַלְכֶ֖ם וְאֶת־מִשְׁתֵּיכֶ֑ם אֲשֶׁ֡ר לָמָּה֩ יִרְאֶ֨ה אֶת־פְּנֵיכֶ֜ם זֹֽעֲפִ֗ים מִן־הַיְלָדִים֙ אֲשֶׁ֣ר כְּגִֽילְכֶ֔ם וְחִיַּבְתֶּ֥ם אֶת־רֹאשִׁ֖י לַמֶּֽלֶךְ׃	EXCLUDED_LEXICAL_HOMOGRAPH		Pointed OL form is lexical/non-numeric in this context; excluded from the numeric index.
DAN	1	16	DAN 1:16	HEB	7	מִשְׁתֵּיהֶ֑ם	מִשְׁתֵּיהֶם	2	cardinal_or_ordinal	NOVEL_NUMERIC_CANDIDATE		0	וַיְהִ֣י הַמֶּלְצַ֗ר נֹשֵׂא֙ אֶת־פַּתְבָּגָ֔ם וְיֵ֖ין מִשְׁתֵּיהֶ֑ם וְנֹתֵ֥ן לָהֶ֖ם זֵרְעֹנִֽים׃	EXCLUDED_LEXICAL_HOMOGRAPH		Pointed OL form is lexical/non-numeric in this context; excluded from the numeric index.
DAN	2	40	DAN 2:40	HEB	2	רְבִיעָיָה	רְבִיעָיָה	4	ordinal	NOVEL_NUMERIC_CANDIDATE		0	וּמַלְכוּ֙ *רְבִיעָיָה **רְבִ֣יעָאָ֔ה תֶּהֱוֵ֥א תַקִּיפָ֖ה כְּפַרְזְלָ֑א כָּל־קֳבֵ֗ל דִּ֤י פַרְזְלָא֙ מְהַדֵּ֤ק וְחָשֵׁל֙ כֹּ֔לָּא וּֽכְפַרְזְלָ֛א דִּֽי־מְרָעַ֥ע כָּל־אִלֵּ֖ין תַּדִּ֥ק וְתֵרֹֽעַ׃	NUMERIC	4	Pointed OL form is a genuine cardinal, ordinal, fraction, or numeric scale in context.
DAN	3	25	DAN 3:25	HEB	18	רְבִיעָיָא	רְבִיעָיָא	4	ordinal	NOVEL_NUMERIC_CANDIDATE		0	עָנֵ֣ה וְאָמַ֗ר הָֽא־אֲנָ֨ה חָזֵ֜ה גֻּבְרִ֣ין אַרְבְּעָ֗ה שְׁרַ֙יִן֙ מַהְלְכִ֣ין בְּגֽוֹא־נוּרָ֔א וַחֲבָ֖ל לָא־אִיתַ֣י בְּה֑וֹן וְרֵוֵהּ֙ דִּ֣י *רְבִיעָיָא **רְֽבִיעָאָ֔ה דָּמֵ֖ה לְבַר־אֱלָהִֽין׃ ס	NUMERIC	4	Pointed OL form is a genuine cardinal, ordinal, fraction, or numeric scale in context.
DAN	6	9	DAN 6:9	HEB	9	לְהַשְׁנָיָ֛ה	לְהַשְׁנָיָה	2	cardinal_or_ordinal	NOVEL_NUMERIC_CANDIDATE		0	כְּעַ֣ן מַלְכָּ֔א תְּקִ֥ים אֱסָרָ֖א וְתִרְשֻׁ֣ם כְּתָבָ֑א דִּ֣י לָ֧א לְהַשְׁנָיָ֛ה כְּדָת־מָדַ֥י וּפָרַ֖ס דִּי־לָ֥א תֶעְדֵּֽא׃	EXCLUDED_LEXICAL_HOMOGRAPH		Pointed OL form is lexical/non-numeric in this context; excluded from the numeric index.
DAN	6	16	DAN 6:16	HEB	23	לְהַשְׁנָיָֽה׃	לְהַשְׁנָיָה	2	cardinal_or_ordinal	NOVEL_NUMERIC_CANDIDATE		0	בֵּאדַ֙יִן֙ גֻּבְרַיָּ֣א אִלֵּ֔ךְ הַרְגִּ֖שׁוּ עַל־מַלְכָּ֑א וְאָמְרִ֣ין לְמַלְכָּ֗א דַּ֤ע מַלְכָּא֙ דִּֽי־דָת֙ לְמָדַ֣י וּפָרַ֔ס דִּֽי־כָל־אֱסָ֥ר וּקְיָ֛ם דִּֽי־מַלְכָּ֥א יְהָקֵ֖ים לָ֥א לְהַשְׁנָיָֽה׃	EXCLUDED_LEXICAL_HOMOGRAPH		Pointed OL form is lexical/non-numeric in this context; excluded from the numeric index.
DAN	7	5	DAN 7:5	HEB	14	שִׁנַּיַּהּ	שִׁנַּיַּהּ	2	cardinal_or_ordinal	NOVEL_NUMERIC_CANDIDATE		0	וַאֲר֣וּ חֵיוָה֩ אָחֳרִ֨י תִנְיָנָ֜ה דָּמְיָ֣ה לְדֹ֗ב וְלִשְׂטַר־חַד֙ הֳקִמַ֔ת וּתְלָ֥ת עִלְעִ֛ין בְּפֻמַּ֖הּ בֵּ֣ין *שִׁנַּיַּהּ **שִׁנַּ֑הּ וְכֵן֙ אָמְרִ֣ין לַ֔הּ ק֥וּמִֽי אֲכֻ֖לִי בְּשַׂ֥ר שַׂגִּֽיא׃	EXCLUDED_LEXICAL_HOMOGRAPH		Pointed OL form is lexical/non-numeric in this context; excluded from the numeric index.
